date,provider,fuel_type,price_min,price_avg,station_count
2026-04-16,Circle K,diesel,2.094,2.094,85.0
2026-04-16,Circle K,diesel_plus,2.224,2.224,85.0
2026-04-16,Neste,petrol_95,1.777,1.777,70.0
2026-04-16,Neste,petrol_98,1.847,1.847,70.0
2026-04-16,Neste,diesel,2.067,2.067,70.0
2026-04-16,Neste,diesel_plus,2.197,2.197,70.0
2026-04-16,Virši,petrol_95,1.777,1.777,1.0
2026-04-16,Virši,petrol_98,1.847,1.847,1.0
2026-04-16,Virši,diesel,2.067,2.067,1.0
2026-04-16,VIADA,petrol_95,1.727,1.727,11.0
2026-04-16,VIADA,petrol_98,1.832,1.832,11.0
2026-04-16,VIADA,diesel,2.074,2.074,11.0
2026-04-16,VIADA,cng,0.985,0.985,11.0
2026-04-17,Circle K,petrol_95,1.784,1.784,85.0
2026-04-17,Circle K,petrol_98,1.854,1.854,85.0
2026-04-17,Circle K,diesel,2.054,2.054,85.0
2026-04-17,Circle K,diesel_plus,2.184,2.184,85.0
2026-04-17,Neste,petrol_95,1.767,1.767,70.0
2026-04-17,Neste,petrol_98,1.837,1.837,70.0
2026-04-17,Neste,diesel,2.037,2.037,70.0
2026-04-17,Neste,diesel_plus,2.167,2.167,70.0
2026-04-17,Virši,petrol_95,1.777,1.777,1.0
2026-04-17,Virši,petrol_98,1.847,1.847,1.0
2026-04-17,Virši,diesel,2.067,2.067,1.0
2026-04-17,VIADA,petrol_95,1.707,1.707,11.0
2026-04-17,VIADA,petrol_98,1.812,1.812,11.0
2026-04-17,VIADA,diesel,2.044,2.044,11.0
2026-04-17,VIADA,cng,0.985,0.985,11.0
2026-04-18,Circle K,petrol_95,1.784,1.784,85.0
2026-04-18,Circle K,petrol_98,1.854,1.854,85.0
2026-04-18,Circle K,diesel,2.054,2.054,85.0
2026-04-18,Circle K,diesel_plus,2.184,2.184,85.0
2026-04-18,Neste,petrol_95,1.767,1.767,70.0
2026-04-18,Neste,petrol_98,1.837,1.837,70.0
2026-04-18,Neste,diesel,2.037,2.037,70.0
2026-04-18,Neste,diesel_plus,2.167,2.167,70.0
2026-04-18,Virši,petrol_95,1.767,1.767,1.0
2026-04-18,Virši,petrol_98,1.837,1.837,1.0
2026-04-18,Virši,diesel,2.037,2.037,1.0
2026-04-18,VIADA,petrol_95,1.707,1.707,11.0
2026-04-18,VIADA,petrol_98,1.812,1.812,11.0
2026-04-18,VIADA,diesel,2.044,2.044,11.0
2026-04-18,VIADA,cng,0.985,0.985,11.0
